Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G1,4.4,11.53,6.06,854.01,17.96,4.53,2148.37,21.93,4.42,2441.49
G2,4.88,10.06,5.12,802.33,16.16,4.75,1539.64,25.19,6.08,3255.55
G3,4.88,9.79,5.95,681.43,14.26,4.36,1069.25,28.17,5.11,4197.44
G4,5.66,10.66,6.75,747.43,16.76,5.93,2292.97,26.66,6.35,3966.79
G5,6.44,9.6,7.28,750.78,17.41,6.01,1876.88,27.64,5.13,3956.18
G6,5.45,8.16,5.24,302.43,14.41,5.31,1150.88,21.4,4.85,2357.32
G7,4.84,12.47,7.55,638.16,19.38,5.72,3768.42,24.44,3.1,2418.36
G8,4.32,11.33,6.38,1042.97,17.98,3.93,2041.96,25.76,3.96,3038.59
G9,7.52,8.89,7.14,320.97,14.65,5.39,1301.42,25.13,4.01,2338.57
G10,4.03,13.17,6.37,1213.69,18.65,4,2178.75,24.42,4.07,2051.15
G11,5.43,9.95,6.35,556.74,20.27,6.14,2555.37,26.17,4.86,3319.01
G12,4.43,11.74,6.55,1042.77,19.13,4.02,1446.03,24.58,4.51,2832.23
G13,4.71,10.05,6.13,724.81,13.21,5,1951.14,20.73,4,2431.97
G14,5.12,12.92,6.26,1158.18,19.34,5.65,3148.2,19.87,3.93,1842.51
G15,3.88,13.96,7.51,1035.56,18.56,3.62,2337.23,22.54,2.91,1947.71
G16,3.4,14.07,7.01,1165.96,22.01,4.56,3187.12,21.24,3.96,2183.79
G17,2.84,15.16,7.12,1415.41,25.13,3.51,3334.45,24.43,2.17,2596.94
G18,2.74,15.38,6.34,1384.82,28.64,4.12,4592.39,26.56,2.93,2667.89
G19,4.67,13.79,6.63,863.92,17.02,4.76,1489.78,20.14,3.16,2605.68
G20,3.85,15.82,7.1,1011.8,21.26,4.62,2285.22,22.06,3.63,1708.23
G21,4.32,11.72,6.59,707.9,19.59,5.61,2708.36,27.75,5.86,3632.33
G22,3.64,15.06,7.22,1028.55,17.77,4.05,2885.82,20.42,3.73,1891.41
G23,2.72,15.17,6.11,1251.12,21.51,3.6,2366.73,24.56,3.1,2064.53
G24,4.07,13.99,7.03,1164,22.76,5.37,3723.9,24.33,4.79,3496.98
G25,3.9,12.15,6.56,897.09,21.79,5.53,2725.5,28.1,4.92,3852.64
G26,3.01,16.15,6.54,1609.56,20.53,3.46,2905.31,21.85,4.53,2690.98
G27,5.78,10.42,6.42,548.04,16.03,6.04,1485.18,28.62,5,3890.1
G28,3.02,15.55,6.99,1195.28,29.13,4.14,2433.25,27.83,3.07,2677.97
G29,4.16,13.42,6.33,772.57,18.2,5.02,1999.47,27.02,4.57,3130.94
G30,3.58,17,6.91,1485.37,23.89,3.97,3552.54,19.35,2.47,2334.67
G31,4.52,12.1,6.04,1501.38,16.99,5.05,2005.7,26.92,4.17,2064.28
G32,3.92,12.15,5.97,631.1,17.25,5.13,1841.71,23.56,5.12,3616.04
G33,5.46,9.85,5.33,535.25,12.74,4.42,1170.9,28.74,4.75,2869.14
G34,2.64,14.47,5.53,1202.04,20.36,3.47,3065.85,21.45,3.57,1859.71
G35,5.53,9.36,6.36,609.41,18.85,5.93,2473.5,29.31,4.49,3203.13
G36,4.53,12.69,6.55,391.19,17.51,5.47,2823.25,24.72,4.12,1826.76
G37,5.11,11.1,7.04,773.1,15.58,5.91,2427.68,26.35,4.43,2550.03
G38,3.37,12.92,6.21,1066.31,17.32,3.67,1486.28,21.9,2.99,1745.13
G39,4.11,12.42,7.43,386.14,14.91,4.86,2361.13,26.29,5.27,4244.67
G40,5.21,10.78,6.63,742.3,17.49,4.5,1938.94,21.96,3,2410.93
G41,6.26,10.24,6.61,629.51,18.05,5.47,1784.66,27.39,6.07,4059.59
G42,6.11,9.06,6.55,526.38,15.97,5.51,2058.43,26.99,3.07,2763.74
G43,6.78,9.54,6.42,321.36,13.19,5.54,1753.71,25.12,5.5,2323.03
G44,5.97,9.67,7.55,513.77,14.42,6.91,2461.79,26.58,6.39,3194.66
G45,5.65,10.72,7.36,1043.55,20.14,5.99,3361.54,24.75,4.21,3120.57
G46,6.17,10.18,7,509.81,16.63,6.46,1778.1,22.46,7.41,4228.51
G47,5.69,9.86,7.56,666.15,19.87,6.38,1326.86,28.89,7.02,5120.14
G48,3.93,12.62,6.93,1004.47,16.8,3.91,2036.35,18.73,6.11,3151.7
G49,4.51,12.33,7.59,894.37,18.78,4.96,2294.36,20.27,5.24,3198.98
G50,6.49,7.67,5.4,524.34,12.52,3.99,765.33,19.9,4.87,3063.88
G51,4.21,13.95,6.92,1179.43,17.86,4.42,2050.12,14.61,4.55,2396.67
G52,4.1,12.69,6.89,933.3,17.73,4.96,2479.4,24.2,4.35,3203.65
G53,4.04,12.64,6.39,840.3,18.79,3.56,1820.53,25.35,2.72,2581.62
G54,5.06,11.59,7.1,1003.9,15.18,4.73,2546.91,24.18,5.45,3511.93
G55,3.03,9.38,6.73,1155.4,15.95,4.7,1584.22,25.62,4.77,1927.53
G56,3.66,13.92,6.33,676.72,18.2,4.02,2237.74,23.19,3.57,2590.67
G57,3.62,13.72,6.1,1229.78,16.89,4.48,2133.87,23.98,4.96,2901.81
G58,5.13,12.42,6.84,467.52,17.22,6.02,2037.55,23.61,5.11,2750.87
G59,4.97,12.07,7.91,1040.41,18.16,6.41,2657.49,30.07,6.56,2885.27
G60,4.39,12.25,7.55,1376.47,15.93,5.47,1932.99,27.1,6.02,3065.37
G61,4.83,11.5,6.5,605.84,17.36,5.58,1731.95,31.65,4.67,4625.7
G62,5.03,10.82,6.18,589.6,16.08,5.43,1654.66,22.97,4.86,3246.1
G63,4.76,10.36,5.64,446.13,15.02,5.12,1561.2,21.32,6.64,3562.2
G64,5.04,10.18,5.62,320.94,17.73,4.87,2107.95,24.81,6.49,3763.76
G65,4.53,11.12,6.68,858.22,16.41,5.93,2319.56,23.31,5.86,3110.98
G66,6.92,9.88,6.64,523.36,12.23,5.5,1030.56,22.95,5.5,3327.8
G67,6.51,6.63,6.56,388.82,10.87,6.05,1077.93,24.46,6.11,3865.59
G68,6.09,8.8,7.01,798.84,12.92,5.01,856.2,21.44,5.35,3141.25
G69,4.55,12.19,7.98,1108.95,16.87,6,2887.41,22.76,6.58,2931.93
G70,3.56,13.99,6.8,1364.28,16.65,3.64,2351.57,18.52,3.25,1885.5
G71,3.25,15.07,6.93,1466.64,18.28,3.41,1843.96,19.64,5.31,3295.91
G72,4.09,13.06,6.42,1075.64,21.18,5.52,3047.17,28.59,5.17,3930.69
G73,2.97,16.5,6,1216.89,19.93,3.42,2434.81,24.11,4,2953.54
G74,3.97,14.24,7.05,1155.29,21.85,5.36,3074.13,23.14,5.02,3463.34
G75,5.5,9.78,6.73,427.39,15.61,5.55,1724,25.65,4.69,1977.16
G76,6.49,7.73,5.46,274.2,13.15,5.6,1024.36,23.2,6.44,2794.24
G77,4.32,12,7.28,970.22,16.66,5.49,2673.15,25.12,5.88,3944.09
G78,4.55,12.1,6.69,1038.73,15.37,4.98,1876.73,24.89,6.06,4423.58
G79,5.25,10.78,6.82,721.05,15.33,5.86,1404.59,23.98,5.13,3690.94
G80,4.57,12.58,5.52,518.64,15.72,4.45,2261.9,21.27,3.65,2376.02
G81,2.81,13.7,5.83,866.58,18.83,3.86,2090.68,23.2,4.42,2999.99
G82,3.49,15.21,7.61,1607.36,20.13,4.95,3292.32,25.4,5.3,3188.45
G83,5.81,8.82,5.33,668.48,14.99,4.36,508.13,22.37,5.92,3031.61
G84,3.61,13.15,7.37,1511.87,24.3,4.4,4185.7,26.27,4.82,4055.85
G85,5.01,11.88,7.17,891.94,16.34,6.37,1987.8,28.79,6.58,5016.28
G86,5.25,11.23,6.93,1173.77,14.78,5.91,1093.1,22.97,6.31,4357.32
G87,5.12,9.65,5.81,449.02,19.21,5.47,2670.29,28.48,4.45,3102.52
G88,4.97,9.1,5.88,537.37,11.69,4.46,1061.31,22.62,4.76,2482.25
G89,4.57,11.68,7.36,1121.46,15.75,5.27,1355.79,22.45,5.36,2786.8
G90,4.99,10.78,6.39,948.21,13.75,4.33,1081.42,18.77,5.88,3037.52
G91,4.5,11.22,6.72,906.66,15.95,3.86,1976.44,22.29,4.35,2997.98
G92,3.76,14.03,6.64,752.45,22.19,4.62,3608.6,25.32,4.64,2785.65
G93,4.26,12.98,6.69,1001.36,17.73,5.03,2271.26,20.11,5.67,2961.76
G94,3.45,13.09,7.52,1202.27,18.51,4.45,2632.87,18.04,3.25,1717.85
G95,5.3,10.9,6.98,758.67,18,6.61,2290.9,21.71,6.59,4287.61
G96,5.03,9.53,7.4,752.83,15.47,5.89,1624.87,19.63,5.41,3313.17
G97,3.9,12.75,6.79,1561.82,18.67,5.53,2116.56,22.55,5.42,3165
G98,3.85,12.17,6.89,939.46,19.95,6.01,3285.84,20.27,5.56,3006.47
G99,4.58,13.09,7.41,1322.16,19.77,5.96,2113.65,24.96,6.82,4951.77
G100,4.55,10.69,6.88,763.8,17.19,6.83,2164.09,15.67,6.71,3539.03
G101,3.49,13.92,7.06,1192.89,16.77,5.57,2202.46,20.62,5.47,2979.88
G102,4.12,13.91,6.9,1109.07,19.74,5.88,2942.95,24.33,5.81,3302.5
G103,4.17,11.63,7.36,1644.54,16.11,4.94,2091.42,27.82,6.4,3762.3
G104,3.98,8.63,7.17,865.28,19.51,4.88,3095.03,28.24,5.76,2991.01
G105,4.79,8.17,7.23,1321.88,18.08,4.84,2740.43,18.14,1.87,1419
G106,3.09,18,7.44,1840.99,20.15,5.03,2088.81,21.75,3.92,2019.16
G107,3.68,15.28,6.45,1448.25,16.61,2.96,1917.26,19.96,3.83,2669.69
G108,5.9,10.25,7.51,678.23,13.8,6.41,1662.25,27.5,6.52,3747.23
G109,4.39,11.95,6.47,514.77,15.48,5.06,1764.48,25.1,6.2,3334.33
G110,4.75,13.03,7.09,738.83,17.37,6.05,1943.63,27.26,5.61,3700.55
G111,4.36,11.71,7.33,1003.76,17.02,4.6,2387.37,26.12,5.26,2950.4
G112,3.49,14.27,6.2,1148.52,19.54,4.56,2487.58,21.96,3.8,2776.73
G113,5.1,11.71,6.96,580.65,17.36,6.47,1576.02,29.71,7.18,4700.9
G114,5.51,11.46,7.07,666.37,15.56,6.5,2885.85,25.79,6.81,4580.15
G115,4.52,11.9,6.96,943.71,19.31,5.43,2636.88,31.12,5.98,2800.73
G116,4.53,12.49,5.8,468.55,15.86,6.02,2389.61,25.8,7.63,4255.62
G117,4.73,11.27,6.04,709.56,14.51,4.91,1271.81,23.47,6.18,4090.13
G118,4.45,11.08,6.06,335.28,13.16,4.09,986.03,21.49,5.1,3002.23
G119,4.37,12.26,6.54,772.13,15.87,5.11,2778.6,28.61,4.9,3428.7
G120,4.5,10.82,5.66,560.51,14.28,4.98,1457.09,29,5.53,4001.75
G121,7.01,9.73,7.02,277.25,13.36,5.6,523.07,25.34,5.28,4235.7
G122,5.18,10.69,7.44,974.95,14.69,7.36,2009.81,23.15,7.2,3829.31
G123,5.51,9.73,6.05,618.3,13.02,5.01,986.88,22.52,6.18,3666.2
G124,3.83,12.43,6.01,602,17.74,4.97,2405.94,26.71,5.63,3375.74
G125,3.63,13.93,7,1303.65,19.9,5.51,2480.97,29.04,5.07,3275.15
G126,4.51,12.31,7.43,1121.32,15.42,4.86,1962.87,24.1,4.65,3283.34
G127,4.43,12.71,6.9,1190.22,16.28,4.91,1967.8,27.45,4.95,3869.65
G128,4.15,13.65,8,1368.66,19.12,6.41,3265.48,25.26,7.37,4486.42
G129,3.91,13.65,7.56,1200.04,16.16,4.55,1279.51,25.78,4.45,3381.32
G130,5.02,10.02,6.96,962.56,17.48,5.93,2214.22,26.79,4.48,3554.26
G131,4,12.3,6.62,766.06,16.46,3.97,1475.1,22.17,3.05,1745.56
G132,5.07,10.17,5.58,792.3,16.73,4.92,1326.73,21.27,4.34,1957.48
G133,4.16,13.66,6.92,698.17,18.48,5.99,2334.01,28.18,6.49,4255.89
G134,4.27,12.47,6.17,968.06,12.31,5,2140.91,22.1,5.94,2552.74
G135,4.63,12.96,6.02,525.18,17.9,5.91,2943.34,26.54,6.87,4322.33
G136,4.68,12.02,7.31,870.78,15.26,5.87,2503.41,22.98,6.37,4173.54
G137,5.09,10.42,6.94,902.46,14.89,5.51,1353.41,23.79,5.8,2665.11
G138,6.53,8.66,7.03,514.66,14.33,5.91,1962.12,27.35,5.11,3641.7
G139,4.62,13.4,6.94,509.67,14.92,4.52,1460.37,26.33,3.44,2000.7
G140,4.47,10.93,6.54,928.59,19.88,5,2114.95,20.75,3.99,2372.99
G141,4.98,11.74,6.08,946.81,19.23,5.26,2517.34,23.39,6.62,3092.12
G142,3.41,12.15,6.67,734.03,18.66,4.15,2502,24.3,4.7,2584.91
G143,4.44,12.17,6.98,1193.55,17,6.55,2363.67,25.01,6.54,3461.83
G144,4.87,10.98,5.46,514.38,17.13,5,1050.12,28.22,4.4,3439.96
G145,4.33,13.33,6.1,896.42,13.38,4.16,1821.86,20.83,5.06,1807.44
G146,5.49,10.16,6.01,620.39,16,5.88,1684.95,24.81,6.45,2939.6
G147,5.16,11.35,6.47,657.5,17.26,5.96,2129.66,27.21,5.44,3376.86
G148,5.08,9.5,6.18,534.98,13.93,4.87,1130.89,23.95,5.4,2662.07
G149,4.91,10.77,6.78,988.45,13.79,4.42,1171.4,23.42,4.4,3073.79
G150,3.67,11.85,7.02,1021.81,14.5,6.23,2216.52,22.56,5.39,3233.48
G151,4.93,11.45,7.15,1007.77,15.13,6.02,1771.01,27.99,6.57,3084.99
G152,2.68,14.92,3.46,1394.29,16.6,3.15,2446.81,14.87,2.02,1732.88
G153,4.93,10.6,7.16,965.78,18.09,6.57,2778.26,24.8,6.41,4374.69
G154,4.5,11.63,6.78,798.51,17.99,5.2,1896.93,26.38,4.98,2645.87
G155,4.59,11.02,6.54,804.72,15.39,5.42,2307.19,28.07,3.98,2956.26
G156,5.03,9.9,5.48,336.88,12.69,4,1107.04,26.11,5.62,3381.09
G157,5.41,9.1,6.51,539.63,13.97,4.42,1963.72,22.42,4,3235.79
G158,4.7,16.5,6.37,924.89,19.47,6.03,1386.98,28.79,6.37,3592.66
G159,5.07,12.38,6.89,617.4,19.56,5.57,2321.45,22.3,6.27,2737.33
G160,7.34,8.56,5.19,172.87,13.82,5.53,888.41,22.94,5.49,2120.87
G161,5.76,9.84,6.84,265.72,16.47,5.99,1630.38,26.56,4.43,3231.11
G162,4.12,11.5,6.17,571.94,16.56,5.88,2228.69,25.67,4.71,2908.64
G163,4.7,11.43,6.98,599.54,16.23,5.47,2492.58,28.31,6.14,3855.78
G164,4.57,11.1,5.97,365,18.18,4.55,2258.65,23.81,2.62,1836.27
G165,5.25,9.38,6.26,567.16,15.71,5.4,2094.86,24.79,4.17,3082.47
G166,5.06,11.51,6.8,605,17.97,4.97,1906.16,25.48,5.69,3121.46
G167,4.88,10.65,6.64,576.83,18.26,6.4,1968.46,22.63,5.43,2962.21
G168,4.49,12.9,7.07,1000.41,16.27,4.83,1552.92,24.38,4.62,2688.21
G169,3.96,14.05,6.59,1050.7,20.29,4.68,2954.66,31.17,4.59,2275.89
G170,3.97,11.69,6,514.7,20.27,3.62,2230.67,23.47,2.94,2214.43
G171,3.66,13.31,6.25,713.7,22.26,4.93,3437.29,21.83,3.85,2557.84
G172,3.53,14.42,6.48,1214.65,18.95,4,2983.42,20.39,3.08,2038.12
G173,4.09,12.49,6.72,1345.66,16.58,4.81,1890.57,24.67,4.4,4009.86
G174,3.27,15.62,6.6,1137.52,19.25,2.97,1952.49,27.28,3.07,2179.52
G175,3.11,15.35,7.18,1531.38,19.28,4.25,3259.34,19.91,4.02,1668.64
G176,4.44,11.92,6.51,815.48,17.63,5.45,2874.4,23.04,5.18,2660.76
G177,5.01,10.91,7.17,736.63,13.35,4.06,1525.62,18.83,4.74,3239.29
G178,4.03,13.65,6.54,1027.63,16.37,5.52,2381.16,23.46,4.24,2949.92
G179,4.47,11.88,6.52,1328.69,13.59,4.92,1188.99,24.11,4.5,2821.47
G180,4.48,13.7,6.47,962.02,17.99,5.13,2457,24.06,4.88,3129.6
G181,2.8,16.43,7.12,1688.61,23.27,4.6,3145.71,25.05,5.42,3670.87
G182,4.3,16.36,7.1,958.1,22.54,6.02,3095.33,36.24,4.45,2808.14
G183,3.97,13.23,6.48,840.82,20.77,4.53,3432.89,25.73,3.53,2167.77
G184,4.02,12.72,6.59,1055.48,17.87,3.96,2255.46,23.22,3.2,1648.07
G185,4.39,14.36,7.47,986.13,18.96,5.93,2432.71,31.49,4.4,3303.32
G186,3.76,11.86,7.02,1207.33,15.82,5.1,2209.07,27.36,5.88,3326.06
G187,4.96,11.75,7.86,832.99,16.78,6.14,2209.89,26.07,5.83,3242.33
G188,4.9,11.82,6.05,392.72,28.62,4.47,2049.13,30.8,2.96,3258.6
G189,4.59,12.27,7.22,755.74,18.74,3.81,2983.01,20.34,2.4,997.31
G190,2.99,15.41,6.28,1319.21,19.98,4.88,3254.7,20.48,3.85,2498.5
G191,5.04,10.31,5.5,411.88,18.8,5.42,2447.31,23.19,3.04,2492.94
G192,7.09,9.07,6.62,308.06,13.93,6.11,1250.92,21.39,4.83,3127.46
G193,4.86,11.56,7.07,763.17,14.63,5.99,2095.7,25.56,5.51,3505.29
G194,5.06,10.31,7.93,1303.52,14.24,6.46,2641.39,25.48,7.03,4153.24
G195,3.21,13.72,5.4,781.86,23.62,3.46,2979.49,19.43,2.4,1519.05
G196,4.04,13.43,6.58,1215.52,19.48,3.86,2562.31,22.76,2.85,1540.04
G197,5.22,8.68,5.68,306.25,15.09,5.5,1276.12,23.17,3.94,1567.56
G198,3.91,12.54,6.35,545.47,24.56,3.89,4088.59,30.97,3.21,2724.19
G199,4.08,11.32,7.28,904.88,17.95,4.86,1814.31,23.7,5.48,3967.46
G200,4.62,12.54,7.25,1226.78,18.93,5,2981.46,30.29,5.5,4023.6
G201,3.41,15.67,6.46,1348.12,19.12,4.04,2495.12,29.26,3.56,1652.31
G202,4.32,11.51,6.11,635.74,16.28,4.59,1432.11,25.64,5.71,3487.3
G203,3.03,15.19,7.1,1562.26,19.24,4.01,3239.79,20.01,3.94,2563.76
G204,5.16,10.66,6.45,476.84,14.4,4.92,1958.15,20.33,5.39,3517.47
